index,Title,Release Date,Year,IMDb Rating,Runtime (mins),Genres,Directors
236,Ghostbusters II,15-06-1989,1989,6.6,108,"Action, Comedy, Fantasy, Sci-Fi",Ivan Reitman
237,Glass,07-01-2019,2019,6.7,129,"Drama, Sci-Fi, Thriller",M. Night Shyamalan
238,Goon,10-09-2011,2011,6.8,92,"Comedy, Drama, Sport",Michael Dowse
239,Goon: Last of the Enforcers,17-03-2017,2017,5.8,101,"Comedy, Sport",Jay Baruchel
240,Grave Encounters,22-04-2011,2011,6.1,92,"Adventure, Fantasy, Horror, Mystery","The Vicious Brothers, Colin Minihan, Stuart Ortiz"
241,Grave Encounters 2,02-10-2012,2012,5.1,95,"Action, Adventure, Fantasy, Horror, Sci-Fi",John Poliquin
242,Gremlins 3,,,,,"Comedy, Fantasy, Horror, Sci-Fi, Thriller",
243,Gremlins,08-06-1984,1984,7.3,106,"Comedy, Fantasy, Horror",Joe Dante
244,Gremlins 2: The New Batch,15-06-1990,1990,6.4,106,"Comedy, Fantasy, Horror","Joe Dante, Chuck Jones"
245,Guardians of the Galaxy,21-07-2014,2014,8,121,"Action, Adventure, Comedy, Sci-Fi",James Gunn
246,Guardians of the Galaxy Vol. 2,10-04-2017,2017,7.6,136,"Action, Adventure, Comedy, Sci-Fi",James Gunn
247,Guardians of the Galaxy Vol. 3,,2021,,,"Action, Adventure, Comedy, Sci-Fi, Thriller",James Gunn
248,Halloween,25-10-1978,1978,7.8,91,"Horror, Thriller",John Carpenter
249,Halloween II,30-10-1981,1981,6.5,92,Horror,Rick Rosenthal
250,Halloween III: Season of the Witch,22-10-1982,1982,4.9,98,"Horror, Mystery, Sci-Fi",Tommy Lee Wallace
